reviewer_id,reviewer_name,platform,review_text,rating,review_date,account_age_days,total_reviews,verified_purchase,review_length_words,all_caps_ratio,exclamation_count,repeated_phrases,same_day_reviews,avg_rating_given,profile_photo,classification
R001,InfluencerLife95,MakeMyTrip,Received complimentary sample. Results seem positive after short-term use.,4,2024-08-04,845,477,No,9,0.027,0,1,2,4.3,Yes,Suspicious
R002,InfluencerLife45,Trustpilot,Brand collaboration. Love supporting small businesses. Quality feels authentic.,4,2024-10-13,698,312,No,9,0.038,0,1,1,4.3,Yes,Suspicious
R003,BestBuyer2024161,Zomato,Great great great great great great great great quality!,5,2024-12-27,3,31,No,9,0.018,1,1,23,4.6,No,Fake
R004,InfluencerLife9,Zomato,"I review products professionally. Solid build, average performance. 6/10.",5,2024-11-06,522,88,Yes,9,0.027,0,1,2,4.7,No,Suspicious
R005,Neha Gupta,Nykaa,Good product overall. Setup instructions could be clearer. Performance is satisfactory.,3,2024-10-04,750,41,Yes,11,0.034,0,0,0,2.9,Yes,Genuine
R006,TruthTeller906,MakeMyTrip,Best product on the market! Everyone should buy this immediately!,5,2024-03-12,4,62,No,10,0.031,2,1,52,4.7,No,Fake
R007,Amit Kumar,Google Play,Good value for money. Works as described. Minor scratches on arrival but functional.,5,2024-08-19,1929,34,Yes,13,0.036,0,0,1,3.8,Yes,Genuine
R008,Ravi Shankar,Swiggy,Taste was authentic but service was slow during lunch hours. Reasonable pricing.,5,2024-02-08,1004,49,Yes,12,0.025,0,0,1,3.2,Yes,Genuine
R009,Deepa Nair,Trustpilot,Service was okay. Food arrived slightly late but taste was good. Will order again.,3,2024-03-11,439,16,Yes,14,0.037,0,0,0,3.5,Yes,Genuine
R010,Rekha Singh,Swiggy,Nice ambience but portions are small for the price. Desserts were excellent though.,5,2024-11-11,1614,55,Yes,13,0.024,0,0,0,3.3,Yes,Genuine
R011,PaidReviewer6,Amazon,Gifted for review. Aesthetics are great. Long-term durability remains to be seen.,4,2024-07-11,1367,404,No,12,0.037,0,1,1,4.7,Yes,Suspicious
R012,AmazingUser250,Yelp,great product great price great delivery great service great everything,5,2024-09-18,2,232,No,10,0.0,0,1,64,4.7,Yes,Fake
R013,Rekha Singh,Trustpilot,Nice ambience but portions are small for the price. Desserts were excellent though.,5,2024-10-14,1531,16,Yes,13,0.024,0,0,1,3.8,No,Genuine
R014,Sneha Iyer,Nykaa,Taste was authentic but service was slow during lunch hours. Reasonable pricing.,3,2024-06-15,1015,25,Yes,12,0.025,0,0,1,4.2,No,Genuine
R015,SuperShopper281,Amazon,Amazing product! Best purchase ever! Highly recommend to everyone!!!,5,2024-08-28,12,94,No,9,0.044,5,1,21,4.9,No,Fake
R016,Sneha Iyer,Tripadvisor,Received a damaged item. Replacement was sent within 3 days. Satisfied with resolution.,5,2024-11-04,1497,50,Yes,13,0.034,0,0,1,3.9,Yes,Genuine
